capacity_practice_area_id,core_capacity_area_id,core_capacity_area_name,capacity_practice_area_code,capacity_practice_area_name,capacity_practice_area_definition,guiding_standard_or_principle,indicator_standard_id,global_standard_commitment,example_course_addressable_gap,example_performance_goal,example_practical_proof,default_target_learner_group_id,typical_ksme_diagnosis,typical_course_fit_decision,safeguarding_sensitivity_hint,monitoring_dashboard_category,annex4_source_section,display_order,active_status
CPA_HR_005,CCA_05_HR,"Human Resources, Inclusion, and Safeguarding",CPA_HR_005,Staff development,"Assesses whether the CSO has a clear, documented, and consistently applied practice for staff development.",The organization should demonstrate a practical and evidence-informed approach to staff development.,DGNEAR_SO3_8,GS_C09; GS_C02,Relevant staff cannot consistently apply or document staff development in day-to-day organizational practice.,Use a simple tool or procedure to apply staff development in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating staff development.",TLG_HR_ADMIN,Knowledge,Course-addressable,Moderate,"Human Resources, Inclusion, and Safeguarding","Annex 4 — Human Resources, Inclusion, and Safeguarding",5,Active
CPA_HR_006,CCA_05_HR,"Human Resources, Inclusion, and Safeguarding",CPA_HR_006,Inclusion and diversity,"Assesses whether the CSO has a clear, documented, and consistently applied practice for inclusion and diversity.",The organization should demonstrate a practical and evidence-informed approach to inclusion and diversity.,DGNEAR_SO3_8,GS_C09; GS_C02,Relevant staff cannot consistently apply or document inclusion and diversity in day-to-day organizational practice.,Use a simple tool or procedure to apply inclusion and diversity in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating inclusion and diversity.",TLG_HR_ADMIN,Skill,Partly course-addressable,Moderate,"Human Resources, Inclusion, and Safeguarding","Annex 4 — Human Resources, Inclusion, and Safeguarding",6,Active
CPA_HR_007,CCA_05_HR,"Human Resources, Inclusion, and Safeguarding",CPA_HR_007,Gender mainstreaming,"Assesses whether the CSO has a clear, documented, and consistently applied practice for gender mainstreaming.",The organization should demonstrate a practical and evidence-informed approach to gender mainstreaming.,DGNEAR_SO3_8,GS_C09; GS_C02,Relevant staff cannot consistently apply or document gender mainstreaming in day-to-day organizational practice.,Use a simple tool or procedure to apply gender mainstreaming in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating gender mainstreaming.",TLG_HR_ADMIN,Knowledge,Course-addressable,Moderate,"Human Resources, Inclusion, and Safeguarding","Annex 4 — Human Resources, Inclusion, and Safeguarding",7,Active
CPA_HR_008,CCA_05_HR,"Human Resources, Inclusion, and Safeguarding",CPA_HR_008,Safeguarding policies,"Assesses whether the CSO has a clear, documented, and consistently applied practice for safeguarding policies.",The organization should demonstrate a practical and evidence-informed approach to safeguarding policies.,DGNEAR_SO3_8,GS_C09; GS_C02,Relevant staff cannot consistently apply or document safeguarding policies in day-to-day organizational practice.,Use a simple tool or procedure to apply safeguarding policies in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating safeguarding policies.",TLG_HR_ADMIN,Skill,Course-addressable,Moderate,"Human Resources, Inclusion, and Safeguarding","Annex 4 — Human Resources, Inclusion, and Safeguarding",8,Active
CPA_HR_009,CCA_05_HR,"Human Resources, Inclusion, and Safeguarding",CPA_HR_009,Referral pathways,"Assesses whether the CSO has a clear, documented, and consistently applied practice for referral pathways.",The organization should demonstrate a practical and evidence-informed approach to referral pathways.,DGNEAR_SO3_8,GS_C09; GS_C02,Relevant staff cannot consistently apply or document referral pathways in day-to-day organizational practice.,Use a simple tool or procedure to apply referral pathways in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating referral pathways.",TLG_HR_ADMIN,Knowledge,Partly course-addressable,Moderate,"Human Resources, Inclusion, and Safeguarding","Annex 4 — Human Resources, Inclusion, and Safeguarding",9,Active
CPA_HR_010,CCA_05_HR,"Human Resources, Inclusion, and Safeguarding",CPA_HR_010,Duty of care,"Assesses whether the CSO has a clear, documented, and consistently applied practice for duty of care.",The organization should demonstrate a practical and evidence-informed approach to duty of care.,DGNEAR_SO3_8,GS_C09; GS_C02,Relevant staff cannot consistently apply or document duty of care in day-to-day organizational practice.,Use a simple tool or procedure to apply duty of care in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating duty of care.",TLG_HR_ADMIN,Skill,Course-addressable,Moderate,"Human Resources, Inclusion, and Safeguarding","Annex 4 — Human Resources, Inclusion, and Safeguarding",10,Active
CPA_HR_011,CCA_05_HR,"Human Resources, Inclusion, and Safeguarding",CPA_HR_011,Safe reporting,"Assesses whether the CSO has a clear, documented, and consistently applied practice for safe reporting.",The organization should demonstrate a practical and evidence-informed approach to safe reporting.,DGNEAR_SO3_8,GS_C09; GS_C02,Relevant staff cannot consistently apply or document safe reporting in day-to-day organizational practice.,Use a simple tool or procedure to apply safe reporting in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating safe reporting.",TLG_HR_ADMIN,Knowledge,Course-addressable,Moderate,"Human Resources, Inclusion, and Safeguarding","Annex 4 — Human Resources, Inclusion, and Safeguarding",11,Active
CPA_ADV_001,CCA_06_ADV,Evidence-Based Advocacy and Civic Engagement,CPA_ADV_001,Evidence use,"Assesses whether the CSO has a clear, documented, and consistently applied practice for evidence use.",The organization should demonstrate a practical and evidence-informed approach to evidence use.,DGNEAR_SO3_5,GS_C07; GS_C05,Relevant staff cannot consistently apply or document evidence use in day-to-day organizational practice.,Use a simple tool or procedure to apply evidence use in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating evidence use.",TLG_ADVOCACY_COMMUNICATIONS,Knowledge,Course-addressable,Moderate,Evidence-Based Advocacy and Civic Engagement,Annex 4 — Evidence-Based Advocacy and Civic Engagement,1,Active
CPA_ADV_002,CCA_06_ADV,Evidence-Based Advocacy and Civic Engagement,CPA_ADV_002,Stakeholder mapping,"Assesses whether the CSO has a clear, documented, and consistently applied practice for stakeholder mapping.",The organization should demonstrate a practical and evidence-informed approach to stakeholder mapping.,DGNEAR_SO3_5,GS_C07; GS_C05,Relevant staff cannot consistently apply or document stakeholder mapping in day-to-day organizational practice.,Use a simple tool or procedure to apply stakeholder mapping in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating stakeholder mapping.",TLG_ADVOCACY_COMMUNICATIONS,Skill,Course-addressable,Moderate,Evidence-Based Advocacy and Civic Engagement,Annex 4 — Evidence-Based Advocacy and Civic Engagement,2,Active
CPA_ADV_003,CCA_06_ADV,Evidence-Based Advocacy and Civic Engagement,CPA_ADV_003,Policy message drafting,"Assesses whether the CSO has a clear, documented, and consistently applied practice for policy message drafting.",The organization should demonstrate a practical and evidence-informed approach to policy message drafting.,DGNEAR_SO3_5,GS_C07; GS_C05,Relevant staff cannot consistently apply or document policy message drafting in day-to-day organizational practice.,Use a simple tool or procedure to apply policy message drafting in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating policy message drafting.",TLG_ADVOCACY_COMMUNICATIONS,Knowledge,Partly course-addressable,Moderate,Evidence-Based Advocacy and Civic Engagement,Annex 4 — Evidence-Based Advocacy and Civic Engagement,3,Active
CPA_ADV_004,CCA_06_ADV,Evidence-Based Advocacy and Civic Engagement,CPA_ADV_004,Consultation participation,"Assesses whether the CSO has a clear, documented, and consistently applied practice for consultation participation.",The organization should demonstrate a practical and evidence-informed approach to consultation participation.,DGNEAR_SO3_5,GS_C07; GS_C05,Relevant staff cannot consistently apply or document consultation participation in day-to-day organizational practice.,Use a simple tool or procedure to apply consultation participation in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating consultation participation.",TLG_ADVOCACY_COMMUNICATIONS,Skill,Course-addressable,Moderate,Evidence-Based Advocacy and Civic Engagement,Annex 4 — Evidence-Based Advocacy and Civic Engagement,4,Active
CPA_ADV_005,CCA_06_ADV,Evidence-Based Advocacy and Civic Engagement,CPA_ADV_005,Constituency voice,"Assesses whether the CSO has a clear, documented, and consistently applied practice for constituency voice.",The organization should demonstrate a practical and evidence-informed approach to constituency voice.,DGNEAR_SO3_5,GS_C07; GS_C05,Relevant staff cannot consistently apply or document constituency voice in day-to-day organizational practice.,Use a simple tool or procedure to apply constituency voice in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating constituency voice.",TLG_ADVOCACY_COMMUNICATIONS,Knowledge,Course-addressable,Moderate,Evidence-Based Advocacy and Civic Engagement,Annex 4 — Evidence-Based Advocacy and Civic Engagement,5,Active
CPA_ADV_006,CCA_06_ADV,Evidence-Based Advocacy and Civic Engagement,CPA_ADV_006,Rights-holder engagement,"Assesses whether the CSO has a clear, documented, and consistently applied practice for rights-holder engagement.",The organization should demonstrate a practical and evidence-informed approach to rights-holder engagement.,DGNEAR_SO3_5,GS_C07; GS_C05,Relevant staff cannot consistently apply or document rights-holder engagement in day-to-day organizational practice.,Use a simple tool or procedure to apply rights-holder engagement in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating rights-holder engagement.",TLG_ADVOCACY_COMMUNICATIONS,Skill,Partly course-addressable,Moderate,Evidence-Based Advocacy and Civic Engagement,Annex 4 — Evidence-Based Advocacy and Civic Engagement,6,Active
CPA_ADV_007,CCA_06_ADV,Evidence-Based Advocacy and Civic Engagement,CPA_ADV_007,Safe advocacy language,"Assesses whether the CSO has a clear, documented, and consistently applied practice for safe advocacy language.",The organization should demonstrate a practical and evidence-informed approach to safe advocacy language.,DGNEAR_SO3_5,GS_C07; GS_C05,Relevant staff cannot consistently apply or document safe advocacy language in day-to-day organizational practice.,Use a simple tool or procedure to apply safe advocacy language in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating safe advocacy language.",TLG_ADVOCACY_COMMUNICATIONS,Knowledge,Course-addressable,Moderate,Evidence-Based Advocacy and Civic Engagement,Annex 4 — Evidence-Based Advocacy and Civic Engagement,7,Active
CPA_ADV_008,CCA_06_ADV,Evidence-Based Advocacy and Civic Engagement,CPA_ADV_008,Policy brief writing,"Assesses whether the CSO has a clear, documented, and consistently applied practice for policy brief writing.",The organization should demonstrate a practical and evidence-informed approach to policy brief writing.,DGNEAR_SO3_5,GS_C07; GS_C05,Relevant staff cannot consistently apply or document policy brief writing in day-to-day organizational practice.,Use a simple tool or procedure to apply policy brief writing in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating policy brief writing.",TLG_ADVOCACY_COMMUNICATIONS,Skill,Course-addressable,Moderate,Evidence-Based Advocacy and Civic Engagement,Annex 4 — Evidence-Based Advocacy and Civic Engagement,8,Active
CPA_ADV_009,CCA_06_ADV,Evidence-Based Advocacy and Civic Engagement,CPA_ADV_009,Civic-space risk awareness,"Assesses whether the CSO has a clear, documented, and consistently applied practice for civic-space risk awareness.",The organization should demonstrate a practical and evidence-informed approach to civic-space risk awareness.,DGNEAR_SO3_5,GS_C07; GS_C05,Relevant staff cannot consistently apply or document civic-space risk awareness in day-to-day organizational practice.,Use a simple tool or procedure to apply civic-space risk awareness in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating civic-space risk awareness.",TLG_ADVOCACY_COMMUNICATIONS,Knowledge,Partly course-addressable,Moderate,Evidence-Based Advocacy and Civic Engagement,Annex 4 — Evidence-Based Advocacy and Civic Engagement,9,Active
CPA_ADV_010,CCA_06_ADV,Evidence-Based Advocacy and Civic Engagement,CPA_ADV_010,Advocacy documentation,"Assesses whether the CSO has a clear, documented, and consistently applied practice for advocacy documentation.",The organization should demonstrate a practical and evidence-informed approach to advocacy documentation.,DGNEAR_SO3_5,GS_C07; GS_C05,Relevant staff cannot consistently apply or document advocacy documentation in day-to-day organizational practice.,Use a simple tool or procedure to apply advocacy documentation in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating advocacy documentation.",TLG_ADVOCACY_COMMUNICATIONS,Skill,Course-addressable,Moderate,Evidence-Based Advocacy and Civic Engagement,Annex 4 — Evidence-Based Advocacy and Civic Engagement,10,Active
CPA_MEAL_001,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_001,Indicators,"Assesses whether the CSO has a clear, documented, and consistently applied practice for indicators.",The organization should demonstrate a practical and evidence-informed approach to indicators.,DGNEAR_SO3_4,GS_C11,Relevant staff cannot consistently apply or document indicators in day-to-day organizational practice.,Use a simple tool or procedure to apply indicators in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating indicators.",TLG_MEAL_OFFICER,Knowledge,Course-addressable,Low,"Monitoring, Evaluation, Accountability, and Learning","Annex 4 — Monitoring, Evaluation, Accountability, and Learning",1,Active
CPA_MEAL_002,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_002,Output vs outcome evidence,"Assesses whether the CSO has a clear, documented, and consistently applied practice for output vs outcome evidence.",The organization should demonstrate a practical and evidence-informed approach to output vs outcome evidence.,DGNEAR_SO3_4,GS_C11,Relevant staff cannot consistently apply or document output vs outcome evidence in day-to-day organizational practice.,Use a simple tool or procedure to apply output vs outcome evidence in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating output vs outcome evidence.",TLG_MEAL_OFFICER,Skill,Course-addressable,Low,"Monitoring, Evaluation, Accountability, and Learning","Annex 4 — Monitoring, Evaluation, Accountability, and Learning",2,Active
CPA_MEAL_003,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_003,Data collection,"Assesses whether the CSO has a clear, documented, and consistently applied practice for data collection.",The organization should demonstrate a practical and evidence-informed approach to data collection.,DGNEAR_SO3_4,GS_C11,Relevant staff cannot consistently apply or document data collection in day-to-day organizational practice.,Use a simple tool or procedure to apply data collection in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating data collection.",TLG_MEAL_OFFICER,Knowledge,Partly course-addressable,Low,"Monitoring, Evaluation, Accountability, and Learning","Annex 4 — Monitoring, Evaluation, Accountability, and Learning",3,Active
CPA_MEAL_004,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_004,Data quality,"Assesses whether the CSO has a clear, documented, and consistently applied practice for data quality.",The organization should demonstrate a practical and evidence-informed approach to data quality.,DGNEAR_SO3_4,GS_C11,Relevant staff cannot consistently apply or document data quality in day-to-day organizational practice.,Use a simple tool or procedure to apply data quality in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating data quality.",TLG_MEAL_OFFICER,Skill,Course-addressable,Low,"Monitoring, Evaluation, Accountability, and Learning","Annex 4 — Monitoring, Evaluation, Accountability, and Learning",4,Active
CPA_MEAL_005,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_005,Learning reviews,"Assesses whether the CSO has a clear, documented, and consistently applied practice for learning reviews.",The organization should demonstrate a practical and evidence-informed approach to learning reviews.,DGNEAR_SO3_4,GS_C11,Relevant staff cannot consistently apply or document learning reviews in day-to-day organizational practice.,Use a simple tool or procedure to apply learning reviews in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating learning reviews.",TLG_MEAL_OFFICER,Knowledge,Course-addressable,Low,"Monitoring, Evaluation, Accountability, and Learning","Annex 4 — Monitoring, Evaluation, Accountability, and Learning",5,Active
CPA_MEAL_006,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_006,Feedback use,"Assesses whether the CSO has a clear, documented, and consistently applied practice for feedback use.",The organization should demonstrate a practical and evidence-informed approach to feedback use.,DGNEAR_SO3_4,GS_C11,Relevant staff cannot consistently apply or document feedback use in day-to-day organizational practice.,Use a simple tool or procedure to apply feedback use in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating feedback use.",TLG_MEAL_OFFICER,Skill,Partly course-addressable,Low,"Monitoring, Evaluation, Accountability, and Learning","Annex 4 — Monitoring, Evaluation, Accountability, and Learning",6,Active
CPA_MEAL_007,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_007,Adaptive decisions,"Assesses whether the CSO has a clear, documented, and consistently applied practice for adaptive decisions.",The organization should demonstrate a practical and evidence-informed approach to adaptive decisions.,DGNEAR_SO3_4,GS_C11,Relevant staff cannot consistently apply or document adaptive decisions in day-to-day organizational practice.,Use a simple tool or procedure to apply adaptive decisions in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating adaptive decisions.",TLG_MEAL_OFFICER,Knowledge,Course-addressable,Low,"Monitoring, Evaluation, Accountability, and Learning","Annex 4 — Monitoring, Evaluation, Accountability, and Learning",7,Active
CPA_MEAL_008,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_008,Reporting,"Assesses whether the CSO has a clear, documented, and consistently applied practice for reporting.",The organization should demonstrate a practical and evidence-informed approach to reporting.,DGNEAR_SO3_4,GS_C11,Relevant staff cannot consistently apply or document reporting in day-to-day organizational practice.,Use a simple tool or procedure to apply reporting in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating reporting.",TLG_MEAL_OFFICER,Skill,Course-addressable,Low,"Monitoring, Evaluation, Accountability, and Learning","Annex 4 — Monitoring, Evaluation, Accountability, and Learning",8,Active
CPA_MEAL_009,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_009,Community accountability,"Assesses whether the CSO has a clear, documented, and consistently applied practice for community accountability.",The organization should demonstrate a practical and evidence-informed approach to community accountability.,DGNEAR_SO3_4,GS_C11,Relevant staff cannot consistently apply or document community accountability in day-to-day organizational practice.,Use a simple tool or procedure to apply community accountability in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating community accountability.",TLG_MEAL_OFFICER,Knowledge,Partly course-addressable,Low,"Monitoring, Evaluation, Accountability, and Learning","Annex 4 — Monitoring, Evaluation, Accountability, and Learning",9,Active
CPA_MEAL_010,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_010,Evidence statements,"Assesses whether the CSO has a clear, documented, and consistently applied practice for evidence statements.",The organization should demonstrate a practical and evidence-informed approach to evidence statements.,DGNEAR_SO3_4,GS_C11,Relevant staff cannot consistently apply or document evidence statements in day-to-day organizational practice.,Use a simple tool or procedure to apply evidence statements in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating evidence statements.",TLG_MEAL_OFFICER,Skill,Course-addressable,Low,"Monitoring, Evaluation, Accountability, and Learning","Annex 4 — Monitoring, Evaluation, Accountability, and Learning",10,Active
CPA_DIG_001,CCA_08_DIG,Digital Skills and Data Use / IT Competencies,CPA_DIG_001,Spreadsheet basics,"Assesses whether the CSO has a clear, documented, and consistently applied practice for spreadsheet basics.",The organization should demonstrate a practical and evidence-informed approach to spreadsheet basics.,DEC_DIGITAL_DATA_RESP,GS_C08; GS_C11,Relevant staff cannot consistently apply or document spreadsheet basics in day-to-day organizational practice.,Use a simple tool or procedure to apply spreadsheet basics in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating spreadsheet basics.",TLG_PROJECT_OFFICER,Knowledge,Course-addressable,Moderate,Digital Skills and Data Use / IT Competencies,Annex 4 — Digital Skills and Data Use / IT Competencies,1,Active
CPA_DIG_002,CCA_08_DIG,Digital Skills and Data Use / IT Competencies,CPA_DIG_002,Digital forms,"Assesses whether the CSO has a clear, documented, and consistently applied practice for digital forms.",The organization should demonstrate a practical and evidence-informed approach to digital forms.,DEC_DIGITAL_DATA_RESP,GS_C08; GS_C11,Relevant staff cannot consistently apply or document digital forms in day-to-day organizational practice.,Use a simple tool or procedure to apply digital forms in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating digital forms.",TLG_PROJECT_OFFICER,Skill,Course-addressable,Moderate,Digital Skills and Data Use / IT Competencies,Annex 4 — Digital Skills and Data Use / IT Competencies,2,Active
CPA_DIG_003,CCA_08_DIG,Digital Skills and Data Use / IT Competencies,CPA_DIG_003,File organization,"Assesses whether the CSO has a clear, documented, and consistently applied practice for file organization.",The organization should demonstrate a practical and evidence-informed approach to file organization.,DEC_DIGITAL_DATA_RESP,GS_C08; GS_C11,Relevant staff cannot consistently apply or document file organization in day-to-day organizational practice.,Use a simple tool or procedure to apply file organization in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating file organization.",TLG_PROJECT_OFFICER,Knowledge,Partly course-addressable,Moderate,Digital Skills and Data Use / IT Competencies,Annex 4 — Digital Skills and Data Use / IT Competencies,3,Active
CPA_DIG_004,CCA_08_DIG,Digital Skills and Data Use / IT Competencies,CPA_DIG_004,Data cleaning,"Assesses whether the CSO has a clear, documented, and consistently applied practice for data cleaning.",The organization should demonstrate a practical and evidence-informed approach to data cleaning.,DEC_DIGITAL_DATA_RESP,GS_C08; GS_C11,Relevant staff cannot consistently apply or document data cleaning in day-to-day organizational practice.,Use a simple tool or procedure to apply data cleaning in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating data cleaning.",TLG_PROJECT_OFFICER,Skill,Course-addressable,Moderate,Digital Skills and Data Use / IT Competencies,Annex 4 — Digital Skills and Data Use / IT Competencies,4,Active
CPA_DIG_005,CCA_08_DIG,Digital Skills and Data Use / IT Competencies,CPA_DIG_005,Dashboard interpretation,"Assesses whether the CSO has a clear, documented, and consistently applied practice for dashboard interpretation.",The organization should demonstrate a practical and evidence-informed approach to dashboard interpretation.,DEC_DIGITAL_DATA_RESP,GS_C08; GS_C11,Relevant staff cannot consistently apply or document dashboard interpretation in day-to-day organizational practice.,Use a simple tool or procedure to apply dashboard interpretation in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating dashboard interpretation.",TLG_PROJECT_OFFICER,Knowledge,Course-addressable,Moderate,Digital Skills and Data Use / IT Competencies,Annex 4 — Digital Skills and Data Use / IT Competencies,5,Active
CPA_DIG_006,CCA_08_DIG,Digital Skills and Data Use / IT Competencies,CPA_DIG_006,Online collaboration,"Assesses whether the CSO has a clear, documented, and consistently applied practice for online collaboration.",The organization should demonstrate a practical and evidence-informed approach to online collaboration.,DEC_DIGITAL_DATA_RESP,GS_C08; GS_C11,Relevant staff cannot consistently apply or document online collaboration in day-to-day organizational practice.,Use a simple tool or procedure to apply online collaboration in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating online collaboration.",TLG_PROJECT_OFFICER,Skill,Partly course-addressable,Moderate,Digital Skills and Data Use / IT Competencies,Annex 4 — Digital Skills and Data Use / IT Competencies,6,Active
CPA_DIG_007,CCA_08_DIG,Digital Skills and Data Use / IT Competencies,CPA_DIG_007,Digital reporting,"Assesses whether the CSO has a clear, documented, and consistently applied practice for digital reporting.",The organization should demonstrate a practical and evidence-informed approach to digital reporting.,DEC_DIGITAL_DATA_RESP,GS_C08; GS_C11,Relevant staff cannot consistently apply or document digital reporting in day-to-day organizational practice.,Use a simple tool or procedure to apply digital reporting in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating digital reporting.",TLG_PROJECT_OFFICER,Knowledge,Course-addressable,Moderate,Digital Skills and Data Use / IT Competencies,Annex 4 — Digital Skills and Data Use / IT Competencies,7,Active
CPA_DIG_008,CCA_08_DIG,Digital Skills and Data Use / IT Competencies,CPA_DIG_008,Data protection,"Assesses whether the CSO has a clear, documented, and consistently applied practice for data protection.",The organization should demonstrate a practical and evidence-informed approach to data protection.,DEC_DIGITAL_DATA_RESP,GS_C08; GS_C11,Relevant staff cannot consistently apply or document data protection in day-to-day organizational practice.,Use a simple tool or procedure to apply data protection in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating data protection.",TLG_PROJECT_OFFICER,Skill,Course-addressable,Moderate,Digital Skills and Data Use / IT Competencies,Annex 4 — Digital Skills and Data Use / IT Competencies,8,Active
CPA_DIG_009,CCA_08_DIG,Digital Skills and Data Use / IT Competencies,CPA_DIG_009,Safe AI use,"Assesses whether the CSO has a clear, documented, and consistently applied practice for safe ai use.",The organization should demonstrate a practical and evidence-informed approach to safe ai use.,DEC_DIGITAL_DATA_RESP,GS_C08; GS_C11,Relevant staff cannot consistently apply or document safe ai use in day-to-day organizational practice.,Use a simple tool or procedure to apply safe ai use in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating safe ai use.",TLG_PROJECT_OFFICER,Knowledge,Partly course-addressable,Moderate,Digital Skills and Data Use / IT Competencies,Annex 4 — Digital Skills and Data Use / IT Competencies,9,Active
CPA_DIG_010,CCA_08_DIG,Digital Skills and Data Use / IT Competencies,CPA_DIG_010,Low-bandwidth digital practice,"Assesses whether the CSO has a clear, documented, and consistently applied practice for low-bandwidth digital practice.",The organization should demonstrate a practical and evidence-informed approach to low-bandwidth digital practice.,DEC_DIGITAL_DATA_RESP,GS_C08; GS_C11,Relevant staff cannot consistently apply or document low-bandwidth digital practice in day-to-day organizational practice.,Use a simple tool or procedure to apply low-bandwidth digital practice in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating low-bandwidth digital practice.",TLG_PROJECT_OFFICER,Skill,Course-addressable,Moderate,Digital Skills and Data Use / IT Competencies,Annex 4 — Digital Skills and Data Use / IT Competencies,10,Active
CPA_NET_001,CCA_09_NET,"Networking, Partnerships, and Collective Action",CPA_NET_001,Partnership role clarification,"Assesses whether the CSO has a clear, documented, and consistently applied practice for partnership role clarification.",The organization should demonstrate a practical and evidence-informed approach to partnership role clarification.,DGNEAR_SO3_6,GS_C06,Relevant staff cannot consistently apply or document partnership role clarification in day-to-day organizational practice.,Use a simple tool or procedure to apply partnership role clarification in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating partnership role clarification.",TLG_NETWORK_COORDINATOR,Knowledge,Course-addressable,Low,"Networking, Partnerships, and Collective Action","Annex 4 — Networking, Partnerships, and Collective Action",1,Active
CPA_NET_002,CCA_09_NET,"Networking, Partnerships, and Collective Action",CPA_NET_002,Coalition governance,"Assesses whether the CSO has a clear, documented, and consistently applied practice for coalition governance.",The organization should demonstrate a practical and evidence-informed approach to coalition governance.,DGNEAR_SO3_6,GS_C06,Relevant staff cannot consistently apply or document coalition governance in day-to-day organizational practice.,Use a simple tool or procedure to apply coalition governance in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating coalition governance.",TLG_NETWORK_COORDINATOR,Skill,Course-addressable,Low,"Networking, Partnerships, and Collective Action","Annex 4 — Networking, Partnerships, and Collective Action",2,Active
CPA_NET_003,CCA_09_NET,"Networking, Partnerships, and Collective Action",CPA_NET_003,Coordination,"Assesses whether the CSO has a clear, documented, and consistently applied practice for coordination.",The organization should demonstrate a practical and evidence-informed approach to coordination.,DGNEAR_SO3_6,GS_C06,Relevant staff cannot consistently apply or document coordination in day-to-day organizational practice.,Use a simple tool or procedure to apply coordination in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating coordination.",TLG_NETWORK_COORDINATOR,Knowledge,Partly course-addressable,Low,"Networking, Partnerships, and Collective Action","Annex 4 — Networking, Partnerships, and Collective Action",3,Active
CPA_NET_004,CCA_09_NET,"Networking, Partnerships, and Collective Action",CPA_NET_004,Referral partnerships,"Assesses whether the CSO has a clear, documented, and consistently applied practice for referral partnerships.",The organization should demonstrate a practical and evidence-informed approach to referral partnerships.,DGNEAR_SO3_6,GS_C06,Relevant staff cannot consistently apply or document referral partnerships in day-to-day organizational practice.,Use a simple tool or procedure to apply referral partnerships in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating referral partnerships.",TLG_NETWORK_COORDINATOR,Skill,Course-addressable,Low,"Networking, Partnerships, and Collective Action","Annex 4 — Networking, Partnerships, and Collective Action",4,Active
